model,model_family,search_family,search_method,search_block_name,parameter_grid_index,parameter_grid_size,tuning_stage,regularization_profile,train_mae,train_rmse,train_r2,cv_val_mae_mean,cv_val_mae_std,cv_val_rmse_mean,cv_val_rmse_std,cv_val_r2_mean,cv_overfit_gap_rmse_mean,cv_overfit_ratio_rmse_mean,test_mae,test_rmse,test_r2,overfit_gap_rmse,overfit_ratio_rmse,run_id,global_rank,family_rank
random_forest_search_01,random_forest,random_forest_focus,parameter_grid,random_forest_search_{index:02d},1,3,systematic_grid_search,parameter_grid_search,0.43222085755511847,1.1395911363681734,0.9806187758130911,0.6463164060176476,0.038885967178542466,1.5814357123886047,0.2611443062888871,0.9623090308612253,0.4322313630280258,1.3926299414481904,0.8025563824483579,2.0592505240003223,0.9468391265704531,0.9196593876321488,1.8070081964335583,9765d1402e3d4abfa7a854016be5eae3,1,3
random_forest_search_02,random_forest,random_forest_focus,parameter_grid,random_forest_search_{index:02d},2,3,systematic_grid_search,parameter_grid_search,0.4301046003258463,1.1347470870906617,0.9807831927990673,0.6480720516982776,0.03931986835181239,1.5854275671075904,0.2609255745576266,0.9621255108074277,0.43451945535122943,1.3935613438296461,0.8049295529300865,2.0664844575462533,0.9464649732707425,0.9317373704555916,1.8210969484349506,4d9023fc971940b7b0b610a760205dfb,2,5
random_forest_search_03,random_forest,random_forest_focus,parameter_grid,random_forest_search_{index:02d},3,3,systematic_grid_search,parameter_grid_search,0.42906132070642017,1.1305734973634856,0.9809242913344943,0.6486735703000871,0.039463833830507465,1.5852496686582014,0.26346048626017954,0.9621274377786952,0.4344412657950139,1.3937283581161575,0.8062019960083128,2.0668261515926694,0.9464472677301219,0.9362526542291838,1.8281218836391788,306b633e1f9648c59997d49b45e5f22c,3,4
random_forest_regularized,random_forest,random_forest_focus,parameter_grid,random_forest_regularized,1,1,regularized_grid_point,regularized_grid_point,0.4088057762210124,1.090672845728396,0.9822469865847756,0.6347246843384454,0.03782924501863126,1.5667381078866098,0.24599708049176525,0.9628912014571643,0.47293574865410415,1.4511847171112016,0.8079232740236901,2.098300103593313,0.9448038302544682,1.007627257864917,1.9238583887104865,eaa9316c7162473e95e0d54b727c6ce8,4,1
xgboost_regularized,xgboost,xgboost_focus,parameter_grid,xgboost_regularized,1,1,regularized_grid_point,regularized_grid_point,0.421038446761445,0.8694980433524995,0.9887171114607122,0.7252437787412784,0.05184133490020963,1.6740888633392728,0.2589372321246088,0.9574141100407215,0.8219059888217726,1.9802769513338743,0.8544245088389287,2.147720588855826,0.9421731815942109,1.2782225455033265,2.4700694904095695,fd02385ade9140fdbccd5e23cc80d2ad,5,2
xgboost_random_forest,xgboost_random_forest,xgboost_random_forest_focus,parameter_grid,xgboost_random_forest,1,1,baseline_grid_point,baseline_grid_point,0.566441136441912,1.2989342851065824,0.9748199006140952,0.8251211679976698,0.08291948619248803,1.9479961873358116,0.2982192188348757,0.9428974484315475,0.5657030122067461,1.404827167961877,0.891289879655838,2.1935769146493147,0.9396774806681719,0.8946426295427323,1.6887512630935935,e30ae1a8e8c9449db05c82b1300ced4a,6,1
random_forest,random_forest,random_forest_focus,parameter_grid,random_forest,1,1,baseline_grid_point,baseline_grid_point,0.2934454767997828,0.8509124178805578,0.9891943025613512,0.6301942645277341,0.05549914104163712,1.5691081123152344,0.30055593822160315,0.9618851757097624,0.7295842148908733,1.9133813976400755,0.837601513360534,2.2386860953949084,0.9371710009163273,1.3877736775143505,2.6309242271619446,8e9b7bf6d0204cfdaddf365378535c01,7,2
xgboost,xgboost,xgboost_focus,parameter_grid,xgboost,1,1,baseline_grid_point,baseline_grid_point,0.11200122594020162,0.1633622215034238,0.9996017219785459,0.7082546595405579,0.03286776773539291,1.6616446303781185,0.2455089989198439,0.9583453596879434,1.537564418191924,13.65141192307995,0.9257613798634363,2.318341906419787,0.9326203565310404,2.154979684916363,14.191420054674014,e171660fed3f4f508d75d1929779dbef,8,1
xgboost_random_forest_regularized,xgboost_random_forest,xgboost_random_forest_focus,parameter_grid,xgboost_random_forest_regularized,1,1,regularized_grid_point,regularized_grid_point,0.8637973073663637,1.9982910832872547,0.9404062683808145,1.0132524964264717,0.1329892744237625,2.2868070516290784,0.42946164319266755,0.9212332549409668,0.16151367201806954,1.0800703686494386,1.0599116644941846,2.3431153264366134,0.9311726470873535,0.34482424314935867,1.17255956653828,ce43b8e4a0924ed29c5547ad8346e08f,9,2
xgboost_random_forest_search_01,xgboost_random_forest,xgboost_random_forest_focus,parameter_grid,xgboost_random_forest_search_{index:02d},1,4,systematic_grid_search,parameter_grid_search,1.0209408204462045,2.3456307022910243,0.9178888083595901,1.1397136589539492,0.10215974577788728,2.5271476005750992,0.42445721916164136,0.9041601554008205,0.09363574814932446,1.0468269081212558,1.2192203077132886,2.612253418098665,0.9144530855778956,0.26662271580764063,1.1136678146083374,53d3a6dbcb24428eab2486bd1c5e9332,10,6
